image_id,category,skin_type,rgb_mean_r,rgb_mean_g,rgb_mean_b,rgb_std_r,rgb_std_g,rgb_std_b,lighting_condition,description,hygiene_note
SKIN_HAND_0077,HAND,FAIR_3,228.0,214.0,194.0,10.125113909391272,4.46283758234542,5.419993426080555,DIM,"Terang, sedikit tan",Clean visible skin detected
SKIN_FACE_0137,FACE,FAIR_2,247.0,224.0,205.0,2.450298178068432,2.8687750037751063,2.4746795018037218,BRIGHT,"Terang, terbakar",Hand washing required
SKIN_FACE_0474,FACE,FAIR_1,247.0,232.0,210.0,2.792930480882499,3.6273809326367923,1.635646320090856,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0439,FACE,FAIR_1,251.0,228.0,213.0,2.46650128135872,2.2581773917935233,2.5481353149395582,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0400,FACE,FAIR_1,255.0,237.0,200.0,3.4655322077751216,2.1033968289198417,2.2613433235977984,DIM,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_HAND_0281,HAND,FAIR_1,246.0,235.0,204.0,6.663759233554061,5.76069298634456,5.575586284953758,NORMAL,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_FACE_0384,FACE,FAIR_3,231.0,215.0,195.0,2.988533070409418,2.4938145502022344,2.1205720428520074,NORMAL,"Terang, sedikit tan",Hand washing required
SKIN_FACE_0262,FACE,FAIR_2,244.0,223.0,200.0,3.97948474447281,3.714400395861194,1.981165944841184,DIM,"Terang, terbakar",Gloves must be worn
SKIN_HAND_0320,HAND,FAIR_2,232.0,215.0,198.0,7.828686276144942,6.265035436269648,5.9510139601655165,DIM,"Terang, terbakar",Hand washing required
SKIN_FACE_0050,FACE,FAIR_2,246.0,214.0,192.0,2.4111679234773726,2.369138641316157,2.48699160237574,NORMAL,"Terang, terbakar",Proper hygenic practice observed
SKIN_HAND_0175,HAND,FAIR_1,237.0,234.0,205.0,9.988442011053976,6.768627736517231,8.100331932982364,DIM,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_HAND_0372,HAND,FAIR_3,228.0,213.0,192.0,7.474980381153466,7.760018821554083,5.6299885965439405,NORMAL,"Terang, sedikit tan",Hand washing required
SKIN_FACE_0028,FACE,FAIR_1,249.0,236.0,200.0,2.807629511975599,3.0766035587502705,2.0399213449461158,BRIGHT,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_HAND_0211,HAND,FAIR_3,218.0,205.0,184.0,7.395743905463567,7.475777292475019,5.760298654190361,BRIGHT,"Terang, sedikit tan",Gloves must be worn
SKIN_HAND_0236,HAND,FAIR_2,242.0,225.0,204.0,7.417363479538439,6.699332691250507,5.058913635671561,NORMAL,"Terang, terbakar",Proper hygenic practice observed
SKIN_HAND_0102,HAND,FAIR_1,249.0,231.0,209.0,7.003365907460376,6.395302974733405,4.977551913588192,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0487,FACE,FAIR_1,246.0,236.0,200.0,2.5093762419072254,2.0516229700190856,2.425754397452492,NORMAL,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0403,FACE,FAIR_1,255.0,238.0,212.0,3.735101740893284,2.614147666505142,1.8744446996117379,NORMAL,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0448,FACE,FAIR_3,226.0,216.0,199.0,3.07350932264942,2.8665420400722277,2.376033586293846,NORMAL,"Terang, sedikit tan",Clean visible skin detected
SKIN_HAND_0347,HAND,FAIR_3,230.0,206.0,200.0,8.267304549920915,6.133023617767937,7.301638934419179,NORMAL,"Terang, sedikit tan",Clean visible skin detected
SKIN_HAND_0140,HAND,FAIR_3,229.0,214.0,198.0,9.459315809306798,4.644889640504848,6.373330911676461,DIM,"Terang, sedikit tan",Gloves must be worn
SKIN_FACE_0122,FACE,FAIR_1,255.0,233.0,204.0,2.986767990399387,1.7801716113008785,1.3961696663646028,NORMAL,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_HAND_0500,HAND,FAIR_3,222.0,200.0,192.0,7.181212123407326,6.678316703890122,5.200045428066,NORMAL,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0371,HAND,FAIR_2,227.0,210.0,204.0,8.32210530795849,8.46766081793486,5.383058926648256,NORMAL,"Terang, terbakar",Hand washing required
SKIN_HAND_0199,HAND,FAIR_3,220.0,206.0,197.0,9.168955575030031,6.78654440722454,4.366403727589427,BRIGHT,"Terang, sedikit tan",Gloves must be worn
SKIN_FACE_0188,FACE,FAIR_1,246.0,226.0,206.0,3.973780621817503,2.8256075232132245,1.8700094933358997,BRIGHT,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_FACE_0085,FACE,FAIR_3,228.0,203.0,187.0,2.899390997947241,2.130229386767203,1.716363777742576,BRIGHT,"Terang, sedikit tan",Clean visible skin detected
SKIN_FACE_0402,FACE,FAIR_3,238.0,207.0,196.0,2.860555124168026,3.5517063017863406,2.547833001683616,DIM,"Terang, sedikit tan",Gloves must be worn
SKIN_HAND_0060,HAND,FAIR_1,251.0,220.0,201.0,7.13501908439302,6.860804170290089,6.097698045246747,DIM,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_HAND_0329,HAND,FAIR_3,226.0,202.0,191.0,6.867868623627253,6.3338929691378585,4.838228825337236,DIM,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0097,HAND,FAIR_2,238.0,222.0,210.0,9.20058400476064,5.230459595517755,6.296125469364777,BRIGHT,"Terang, terbakar",Proper hygenic practice observed
SKIN_HAND_0313,HAND,FAIR_1,238.0,225.0,214.0,7.561635503561587,7.266781701716312,4.93672475105951,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0475,FACE,FAIR_1,255.0,230.0,200.0,2.6308031273025243,2.166770931922252,2.1039002024319156,DIM,"Sangat terang, mudah terbakar",Hand washing required
SKIN_HAND_0300,HAND,FAIR_1,239.0,220.0,205.0,6.2807906383005285,7.96412309756974,5.516798333052318,DIM,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_HAND_0278,HAND,FAIR_1,241.0,226.0,211.0,8.14509933739582,6.39527197005572,5.442949959153105,NORMAL,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0425,FACE,FAIR_3,227.0,217.0,196.0,3.0605900616237425,3.0330911318450964,2.0685351100407923,NORMAL,"Terang, sedikit tan",Hand washing required
SKIN_FACE_0102,FACE,FAIR_3,225.0,203.0,192.0,3.8519708470514216,2.3654010558628853,1.3751950137395474,DIM,"Terang, sedikit tan",Clean visible skin detected
SKIN_HAND_0440,HAND,FAIR_1,238.0,224.0,205.0,8.490046518704087,6.605836045007922,5.635543347572184,DIM,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0338,FACE,FAIR_3,227.0,208.0,180.0,2.85637464241521,2.404292167691429,2.810362150436645,NORMAL,"Terang, sedikit tan",Clean visible skin detected
SKIN_FACE_0071,FACE,FAIR_1,247.0,239.0,203.0,2.8436120415553576,2.773789167104469,2.261282966752742,NORMAL,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_FACE_0380,FACE,FAIR_1,247.0,232.0,215.0,4.376606315879593,3.1455541453736844,2.5237120073677843,BRIGHT,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_HAND_0262,HAND,FAIR_2,241.0,213.0,190.0,7.131851188683428,6.734388739564504,6.755039520874328,DIM,"Terang, terbakar",Hand washing required
SKIN_FACE_0079,FACE,FAIR_1,255.0,224.0,207.0,2.5316907485787725,2.141573794315772,1.8448239457219362,NORMAL,"Sangat terang, mudah terbakar",Hand washing required
SKIN_HAND_0024,HAND,FAIR_1,237.0,222.0,207.0,7.197934491698229,5.846564092138965,6.308515911355481,BRIGHT,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_HAND_0031,HAND,FAIR_1,246.0,229.0,205.0,8.739819858050456,5.451552930186621,3.9955507303825577,DIM,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_FACE_0118,FACE,FAIR_3,239.0,216.0,185.0,3.391319557378651,3.1486915316220765,2.3267591711715423,NORMAL,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0011,HAND,FAIR_3,229.0,211.0,187.0,7.277016171472052,6.773882600767223,6.168790539532136,DIM,"Terang, sedikit tan",Hand washing required
SKIN_HAND_0222,HAND,FAIR_2,240.0,222.0,197.0,7.496479266769416,6.237054112941138,5.913747864281103,NORMAL,"Terang, terbakar",Clean visible skin detected
SKIN_FACE_0321,FACE,FAIR_2,250.0,228.0,195.0,2.5954847404140997,2.391328843096928,2.0721744130661626,NORMAL,"Terang, terbakar",Hand washing required
SKIN_HAND_0297,HAND,FAIR_3,231.0,213.0,192.0,6.853765683646795,5.840254185911089,5.9919023649607555,NORMAL,"Terang, sedikit tan",Hand washing required
SKIN_HAND_0055,HAND,FAIR_3,231.0,213.0,181.0,8.393179924161785,5.9382987141346995,6.039840465285431,NORMAL,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_FACE_0043,FACE,FAIR_1,251.0,231.0,205.0,3.6939512811927457,3.0590764361093337,1.8825170353325933,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
SKIN_HAND_0210,HAND,FAIR_2,231.0,215.0,209.0,6.266193628018216,7.359733138697677,4.947682958118151,NORMAL,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0105,FACE,FAIR_3,235.0,204.0,194.0,3.2756216811107843,2.8268522735505597,2.0055512558312025,DIM,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_FACE_0193,FACE,FAIR_2,240.0,216.0,193.0,3.8341032173267706,2.598935276783213,2.185560767892719,BRIGHT,"Terang, terbakar",Gloves must be worn
SKIN_FACE_0163,FACE,FAIR_2,242.0,218.0,206.0,3.840337118341399,3.0831307999859647,2.478703516340602,NORMAL,"Terang, terbakar",Gloves must be worn
SKIN_FACE_0367,FACE,FAIR_3,231.0,208.0,186.0,4.697997178710864,3.6742187609800183,3.1045576670214485,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0071,HAND,FAIR_2,237.0,223.0,207.0,7.012240623634382,7.682265220246053,5.598265381652903,DIM,"Terang, terbakar",Hand washing required
SKIN_FACE_0044,FACE,FAIR_2,247.0,213.0,195.0,3.754451919603321,2.846579318668019,2.3903459674027006,DIM,"Terang, terbakar",Clean visible skin detected
SKIN_HAND_0108,HAND,FAIR_1,245.0,232.0,211.0,6.22387961706029,6.842332689231327,5.670407903470686,DIM,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_HAND_0494,HAND,FAIR_3,219.0,206.0,194.0,9.861036279369918,3.9881427126193554,5.499451574227836,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_FACE_0091,FACE,FAIR_2,249.0,224.0,197.0,3.437861941721787,3.4896317102324286,1.877398783754786,NORMAL,"Terang, terbakar",Clean visible skin detected
SKIN_FACE_0242,FACE,FAIR_3,226.0,203.0,196.0,3.4525404389171794,2.0071254723655345,1.6102797040456882,BRIGHT,"Terang, sedikit tan",Hand washing required
SKIN_HAND_0293,HAND,FAIR_3,214.0,209.0,186.0,7.192697084346853,6.397532443282145,4.903420725985844,NORMAL,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0290,HAND,FAIR_1,238.0,222.0,200.0,10.082352507382705,6.167048733040119,5.102867684342582,DIM,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0153,FACE,FAIR_3,230.0,212.0,196.0,3.401600976511898,2.453727629853445,2.527627618404476,DIM,"Terang, sedikit tan",Hand washing required
SKIN_HAND_0040,HAND,FAIR_1,236.0,226.0,212.0,6.582195911165801,6.732192693874799,6.098581450229182,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0090,FACE,FAIR_3,234.0,216.0,185.0,2.714856422024628,2.584336599695896,2.340195574690041,NORMAL,"Terang, sedikit tan",Hand washing required
SKIN_HAND_0308,HAND,FAIR_1,242.0,224.0,200.0,6.907386366869467,8.034846986724357,5.949538100802354,DIM,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_FACE_0180,FACE,FAIR_2,233.0,228.0,208.0,3.7921475463162535,2.342296301434376,2.47648402224447,DIM,"Terang, terbakar",Clean visible skin detected
SKIN_HAND_0067,HAND,FAIR_1,243.0,234.0,207.0,6.186461089469386,6.168822712783268,5.317414115497366,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
SKIN_HAND_0276,HAND,FAIR_3,217.0,203.0,188.0,9.829143183481513,7.224845154440134,5.114777879119689,NORMAL,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0068,HAND,FAIR_2,232.0,221.0,198.0,8.999855864337196,6.5505031988201425,6.858663205827483,BRIGHT,"Terang, terbakar",Clean visible skin detected
SKIN_HAND_0319,HAND,FAIR_1,248.0,221.0,205.0,6.040766371323189,7.454671810696633,5.014399910431835,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0049,FACE,FAIR_2,238.0,213.0,193.0,3.459515358776169,3.0471797402087395,1.8705311841064856,DIM,"Terang, terbakar",Hand washing required
SKIN_FACE_0499,FACE,FAIR_1,255.0,230.0,202.0,2.4764435771969264,3.3264156671471063,2.451899938656983,NORMAL,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0215,FACE,FAIR_1,255.0,224.0,206.0,3.70826887513637,1.983327388583091,2.4267169932744883,DIM,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0254,FACE,FAIR_1,247.0,234.0,213.0,3.899917643684808,3.6683794234356593,2.519147191576703,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
SKIN_HAND_0328,HAND,FAIR_1,248.0,225.0,210.0,7.792659612796698,8.11660311310601,5.945942224106483,NORMAL,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_HAND_0383,HAND,FAIR_2,233.0,224.0,199.0,7.263506445600671,6.902067326195725,5.903417274299614,BRIGHT,"Terang, terbakar",Gloves must be worn
SKIN_HAND_0452,HAND,FAIR_3,225.0,214.0,185.0,5.451158062578853,7.024054059092207,6.589256496183777,BRIGHT,"Terang, sedikit tan",Clean visible skin detected
SKIN_FACE_0023,FACE,FAIR_3,234.0,205.0,182.0,3.23649511733041,3.3958360678130757,2.653294523594756,BRIGHT,"Terang, sedikit tan",Clean visible skin detected
SKIN_HAND_0219,HAND,FAIR_1,250.0,221.0,209.0,8.075710253547342,7.288113101638523,4.985215877807759,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0288,FACE,FAIR_3,234.0,206.0,199.0,3.4504334353372768,2.7619832593924167,1.6416951780249975,DIM,"Terang, sedikit tan",Clean visible skin detected
SKIN_HAND_0437,HAND,FAIR_2,233.0,222.0,201.0,6.42809112371176,6.894592282165107,5.050896895436519,NORMAL,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0265,FACE,FAIR_1,254.0,237.0,202.0,3.051525592973704,2.787775973683442,2.2561461629927297,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
SKIN_HAND_0089,HAND,FAIR_3,223.0,209.0,197.0,7.297513696128376,6.6573640617284235,7.565543479322314,BRIGHT,"Terang, sedikit tan",Clean visible skin detected
SKIN_HAND_0064,HAND,FAIR_1,245.0,223.0,201.0,8.949699976416971,5.359110721601182,5.559431933140855,NORMAL,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0327,FACE,FAIR_3,240.0,214.0,190.0,3.1297730127953947,2.744416547205066,2.870828311357478,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_FACE_0217,FACE,FAIR_2,240.0,223.0,201.0,3.3801916777984258,2.4531451223748917,2.8581949104690993,DIM,"Terang, terbakar",Proper hygenic practice observed
SKIN_HAND_0352,HAND,FAIR_1,253.0,228.0,211.0,8.407790022834313,5.868236092323674,7.010143536922719,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0437,FACE,FAIR_2,239.0,223.0,210.0,4.00316531060344,2.3412534100533957,1.954814662843996,NORMAL,"Terang, terbakar",Proper hygenic practice observed
SKIN_HAND_0257,HAND,FAIR_1,247.0,230.0,209.0,9.851616134081578,6.44888859247345,5.502209142506062,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0136,FACE,FAIR_2,244.0,226.0,204.0,3.161896012066498,2.7394353621582113,2.278328041119608,NORMAL,"Terang, terbakar",Gloves must be worn
SKIN_FACE_0145,FACE,FAIR_3,237.0,207.0,195.0,3.6765129837107864,2.4425268814226655,2.6692159578918835,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_FACE_0055,FACE,FAIR_3,238.0,216.0,181.0,2.4060892169058024,2.4360570266306336,2.46743143971115,BRIGHT,"Terang, sedikit tan",Gloves must be worn
SKIN_FACE_0460,FACE,FAIR_2,239.0,224.0,199.0,3.160139207217894,3.464933568432733,2.3571741293353994,DIM,"Terang, terbakar",Proper hygenic practice observed
SKIN_HAND_0169,HAND,FAIR_1,238.0,230.0,209.0,6.000680985081921,7.33010308861321,6.233442734519201,BRIGHT,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_FACE_0418,FACE,FAIR_3,228.0,217.0,185.0,2.7860695391830492,2.42115381470298,2.4576247521022063,NORMAL,"Terang, sedikit tan",Clean visible skin detected
SKIN_FACE_0029,FACE,FAIR_3,230.0,203.0,191.0,2.8889976750592017,2.440078076184435,2.667413410202017,NORMAL,"Terang, sedikit tan",Gloves must be worn
SKIN_FACE_0324,FACE,FAIR_1,251.0,235.0,214.0,3.9903111611869866,2.6287840401887124,2.030042520133212,DIM,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_FACE_0486,FACE,FAIR_3,232.0,206.0,190.0,2.5256343087494404,3.1468177807419764,2.4372721785444162,DIM,"Terang, sedikit tan",Hand washing required
SKIN_FACE_0317,FACE,FAIR_2,243.0,226.0,192.0,3.308717084546308,2.9220238826133826,1.8027487830505624,BRIGHT,"Terang, terbakar",Clean visible skin detected
SKIN_HAND_0087,HAND,FAIR_3,231.0,213.0,181.0,6.135918428430427,6.638612778793133,4.935838968393854,NORMAL,"Terang, sedikit tan",Hand washing required
SKIN_HAND_0433,HAND,FAIR_3,224.0,205.0,196.0,7.0886244802676535,7.008304758597081,6.913726461923567,NORMAL,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0185,HAND,FAIR_2,240.0,225.0,204.0,7.4412015292453395,7.269888956507972,6.252296187104659,BRIGHT,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0479,FACE,FAIR_2,244.0,224.0,210.0,4.286048204359352,2.673625332271108,2.6603821454773597,DIM,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0035,FACE,FAIR_3,230.0,210.0,187.0,4.1163771261421065,3.116547080700747,2.7151221929726703,BRIGHT,"Terang, sedikit tan",Gloves must be worn
SKIN_HAND_0295,HAND,FAIR_2,229.0,222.0,208.0,6.593649124384605,7.934340610239355,5.958825943950215,NORMAL,"Terang, terbakar",Clean visible skin detected
SKIN_FACE_0393,FACE,FAIR_1,250.0,223.0,208.0,2.952876405858915,2.2323609607415014,2.1174216199565357,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_HAND_0426,HAND,FAIR_1,241.0,223.0,209.0,9.29637125276248,7.393738103946517,6.022817275273541,BRIGHT,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_FACE_0214,FACE,FAIR_2,238.0,228.0,201.0,4.136847660634952,2.4642818852895174,2.2512575511482327,DIM,"Terang, terbakar",Hand washing required
SKIN_HAND_0261,HAND,FAIR_2,228.0,213.0,197.0,8.629338789122102,7.99136745990606,4.738247508643434,DIM,"Terang, terbakar",Proper hygenic practice observed
SKIN_HAND_0238,HAND,FAIR_1,244.0,234.0,211.0,7.072407289823284,5.7056141754970975,4.9999709238918655,DIM,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_FACE_0060,FACE,FAIR_3,226.0,212.0,190.0,2.54733248898489,2.197560631401624,2.4415832417896564,NORMAL,"Terang, sedikit tan",Gloves must be worn
SKIN_FACE_0084,FACE,FAIR_3,237.0,204.0,198.0,4.431526526953308,3.2084577003350594,2.7050389061872164,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0446,HAND,FAIR_3,227.0,211.0,181.0,7.821323823647253,4.670233204108564,6.615443943767554,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_FACE_0368,FACE,FAIR_2,240.0,220.0,205.0,3.451960823174516,3.3266216953574625,1.9355284472703378,BRIGHT,"Terang, terbakar",Clean visible skin detected
SKIN_FACE_0301,FACE,FAIR_2,238.0,224.0,196.0,3.267578006739477,3.608761830409245,1.6944224716245748,DIM,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0100,FACE,FAIR_2,239.0,229.0,196.0,3.3833321342024703,2.952934658746138,2.6193079017417125,NORMAL,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0350,FACE,FAIR_1,255.0,232.0,211.0,2.9203025714870856,2.383092841873587,1.9125052777283065,NORMAL,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_HAND_0266,HAND,FAIR_3,222.0,207.0,196.0,7.248528784536609,5.950659055064786,5.570173669601301,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_FACE_0496,FACE,FAIR_3,235.0,209.0,186.0,2.4145774980463637,3.089078061061968,1.9180478290539262,DIM,"Terang, sedikit tan",Gloves must be worn
SKIN_FACE_0030,FACE,FAIR_2,234.0,221.0,197.0,3.1035587378281653,3.283974238398806,1.8477391530683127,NORMAL,"Terang, terbakar",Proper hygenic practice observed
SKIN_HAND_0056,HAND,FAIR_2,225.0,221.0,199.0,4.922510860226568,8.298778302324417,4.222705997124038,BRIGHT,"Terang, terbakar",Hand washing required
SKIN_HAND_0121,HAND,FAIR_1,240.0,230.0,204.0,8.978416979018208,7.796829972849801,4.714751076866525,BRIGHT,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_HAND_0216,HAND,FAIR_1,247.0,234.0,203.0,5.519505939693119,6.560926004121716,4.893157814577036,DIM,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_HAND_0026,HAND,FAIR_1,244.0,229.0,206.0,9.608079578788258,5.701485810689007,5.322746956800407,DIM,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_HAND_0073,HAND,FAIR_1,242.0,229.0,207.0,7.886896636901889,6.95249607035272,5.174044450287173,NORMAL,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_HAND_0045,HAND,FAIR_3,224.0,213.0,190.0,7.303121267436111,5.597804984356162,6.222757819499334,BRIGHT,"Terang, sedikit tan",Hand washing required
SKIN_HAND_0248,HAND,FAIR_2,225.0,218.0,204.0,6.7839760660135315,6.973773758621599,6.805700503617089,BRIGHT,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0222,FACE,FAIR_2,244.0,226.0,192.0,3.496431330335386,2.29727929436834,1.9200111847675063,BRIGHT,"Terang, terbakar",Clean visible skin detected
SKIN_HAND_0282,HAND,FAIR_3,223.0,211.0,194.0,8.13589239690213,6.767152954933967,5.84978911152997,DIM,"Terang, sedikit tan",Clean visible skin detected
SKIN_FACE_0394,FACE,FAIR_1,250.0,232.0,200.0,3.4274847607893313,3.0515438893125504,2.163547190248389,NORMAL,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_FACE_0415,FACE,FAIR_1,255.0,221.0,206.0,2.6652213911441347,3.1166377495770083,1.8550409666489038,NORMAL,"Sangat terang, mudah terbakar",Gloves must be worn
SKIN_FACE_0311,FACE,FAIR_2,246.0,220.0,196.0,4.202460977935978,2.6916282802030267,2.143585205772675,NORMAL,"Terang, terbakar",Gloves must be worn
SKIN_HAND_0245,HAND,FAIR_1,244.0,220.0,206.0,9.172501662131719,8.259150195988905,6.592608411207973,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
SKIN_FACE_0323,FACE,FAIR_3,227.0,205.0,189.0,2.909385778619548,1.94957604519343,2.0380981411290557,NORMAL,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0322,HAND,FAIR_3,215.0,212.0,191.0,8.638942947180992,5.693261849769239,5.54567662299315,DIM,"Terang, sedikit tan",Gloves must be worn
SKIN_FACE_0144,FACE,FAIR_1,250.0,228.0,208.0,2.6513761316715345,3.5418609304222435,2.590285883449831,DIM,"Sangat terang, mudah terbakar",Clean visible skin detected
SKIN_HAND_0159,HAND,FAIR_1,240.0,233.0,203.0,7.847458575973721,7.308239940059358,5.882872765033153,DIM,"Sangat terang, mudah terbakar",Proper hygenic practice observed
SKIN_FACE_0478,FACE,FAIR_3,236.0,207.0,185.0,3.3683496509833653,2.256814720955972,2.563018086766247,NORMAL,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0430,HAND,FAIR_2,226.0,212.0,190.0,8.279746118130282,5.560871125900417,4.722511955589863,DIM,"Terang, terbakar",Proper hygenic practice observed
SKIN_FACE_0442,FACE,FAIR_3,233.0,206.0,182.0,3.230262118139291,2.9046603234806727,2.5588379486811084,BRIGHT,"Terang, sedikit tan",Proper hygenic practice observed
SKIN_HAND_0463,HAND,FAIR_1,246.0,230.0,202.0,9.040495594773319,6.324587658053766,4.772840350175784,BRIGHT,"Sangat terang, mudah terbakar",Hand washing required
