text,category
saus bechamel keju bantat dan tepi loyang hangus terbakar di oven bersuhu tinggi di grill station.,OVERCOOKED
tomat merah layu menghitam membusuk dan berlendir di dalam chiller di kulkas walk-in.,SPOILED
susu UHT full cream 1 liter melewati masa kadaluwarsa resmi dari distributor supplier di rak saus dan kondimen.,EXPIRED
Waste log: cumi-cumi segar timbul lendir lengket dan aroma bangkai busuk,SPOILED
daging steak sirloin kelewat matang lembek hancur menjadi bubur di wajan stir-fry wok.,OVERCOOKED
potongan daging wagyu MB7 kemasukan tetesan air kotor bocoran dari plafon exhaust dapur pada meja prep station.,CONTAMINATED
tomat merah berbau belerang busuk dan mengeluarkan cairan keruh di ruang penyimpanan basah.,SPOILED
saus tomat kemasan botol expired date tercantum 12 September 2026 sudah terlampaui di rak inventory pantry.,EXPIRED
Kondisi pasta marinara saus tomat: sisa menu promo lunch siang yang berlebih dan tidak terjual,SURPLUS
kulit wortel dan bonggol brokoli sisa proses fillet untuk menu ikan bakar banquet di fish station.,PREP_WASTE
Kondisi kue brownies panggang: hangus berkerak di dasar panci dan timbul bau sangit,OVERCOOKED
sup buntut kuah rempah 15 porsi kelebihan porsi karena acara pesta banquet batal sebagian pada dispenser buffet sarapan.,SURPLUS
nasi putih dan aneka lauk pauk sisa menu promo lunch siang yang berlebih dan tidak terjual di area room service.,SURPLUS
nasi putih dan aneka lauk pauk sisa sajian meeting room korporat yang selesai lebih awal di holding cabinet pemanas.,SURPLUS
tomat merah timbul lendir lengket dan aroma bangkai busuk di cold storage dapur.,SPOILED
tomat merah berbau belerang busuk dan mengeluarkan cairan keruh di rak seafood.,SPOILED
tomat merah tekstur lembek berlendir dan timbul bintik hitam jamur di kulkas walk-in.,SPOILED
potongan daging wagyu MB7 tercampur serpihan plastik wrap kemasan tajam yang sobek pada rak chiller bawah.,CONTAMINATED
daging steak sirloin gosong hitam legam karena api grill terlalu besar saat proses plating order.,OVERCOOKED
susu UHT full cream 1 liter expired date tercantum 12 September 2026 sudah terlampaui di rak inventory pantry.,EXPIRED
lemak berlebih dan urat keras sisa proses fillet untuk menu ikan bakar banquet di fish station.,PREP_WASTE
kulit wortel dan bonggol brokoli sisa kupasan persiapan bumbu dasar dapur utama di fish station.,PREP_WASTE
susu UHT full cream 1 liter melewati batas tanggal best before pada label kemasan pada chiller dairy.,EXPIRED
daging steak sirloin gosong di luar tetapi bagian dalam masih belum matang saat proses plating order.,OVERCOOKED
daging steak sirloin kelebihan waktu masak di salamander hingga keju hangus pahit di area deep fryer.,OVERCOOKED
nasi putih dan aneka lauk pauk overproduksi sisa persiapan siang yang tidak habis malam ini di buffet counter restaurant.,SURPLUS
potongan daging wagyu MB7 terkena debu kotor tebal akibat renovasi ventilasi dapur di dekat tempat cuci piring pot wash.,CONTAMINATED
kulit wortel dan bonggol brokoli hasil pembersihan kulit dan akar sayuran di fish station.,PREP_WASTE
saus sambal mangkok saji jatuh ke lantai dapur yang kotor dan berminyak,CONTAMINATED
kulit wortel dan bonggol brokoli sisa trimming fillet dada ayam untuk sate di meja butcher station.,PREP_WASTE
potongan daging wagyu MB7 terkontaminasi pecahan beling piring kaca yang pecah di dekatnya pada rak chiller bawah.,CONTAMINATED
daun selada hijau segar kemasukan tetesan air kotor bocoran dari plafon exhaust dapur di meja saji banquet.,CONTAMINATED
susu UHT full cream 1 liter tanggal kadaluarsa sudah habis saat pemeriksaan stok bulanan pada chiller dairy.,EXPIRED
Kondisi sayur lodeh santan: gosong hitam legam karena api grill terlalu besar,OVERCOOKED
potongan daging wagyu MB7 tercampur bahan alergen kacang yang dilarang pada pesanan khusus pada rak chiller bawah.,CONTAMINATED
nasi putih dan aneka lauk pauk sisa display etalase kafe malam hari yang tidak laku terjual pada meja banquet hall.,SURPLUS
lemak berlebih dan urat keras hasil trimming kotor persiapan menu steak malam di fish station.,PREP_WASTE
tangkai cabai dan biji cabai merah hasil pembersihan kulit dan akar sayuran,PREP_WASTE
daun selada hijau segar jatuh ke lantai dapur yang kotor dan berminyak pada meja prep station.,CONTAMINATED
daging steak sirloin terlalu lama digoreng di deep fryer sampai kering mengeras pahit di wajan stir-fry wok.,OVERCOOKED
sup buntut kuah rempah 15 porsi sisa display etalase kafe malam hari yang tidak laku terjual pada meja banquet hall.,SURPLUS
daging steak sirloin gosong di luar tetapi bagian dalam masih belum matang pada kompor saute.,OVERCOOKED
kulit wortel dan bonggol brokoli sisa kupasan persiapan bumbu dasar dapur utama pada station vegetable prep.,PREP_WASTE
tomat merah membusuk di dasar kontainer penyimpanan dingin di kontainer prep.,SPOILED
nasi putih dan aneka lauk pauk kelebihan porsi karena acara pesta banquet batal sebagian pada dispenser buffet sarapan.,SURPLUS
"daging ayam panggang bumbu rosemary sisa menu promo lunch siang yang berlebih dan tidak terjual, buang segera",SURPLUS
nasi putih dan aneka lauk pauk sisa menu promo lunch siang yang berlebih dan tidak terjual di buffet counter restaurant.,SURPLUS
saus bechamel keju bantat dan tepi loyang hangus terbakar di oven bersuhu tinggi pada kompor saute.,OVERCOOKED
potongan daging wagyu MB7 tertetes cairan darah ayam mentah dari rak chiller bagian atas di lantai kitchen line.,CONTAMINATED
susu UHT full cream 1 liter lewat masa kadaluarsa 5 hari tidak boleh dipakai masak pada kulkas pastry.,EXPIRED
potongan daging wagyu MB7 tertetes cairan darah ayam mentah dari rak chiller bagian atas pada rak chiller bawah.,CONTAMINATED
tomat merah timbul lendir lengket dan aroma bangkai busuk saat dicek quality control pagi.,SPOILED
tomat merah layu menghitam membusuk dan berlendir di dalam chiller di cold storage dapur.,SPOILED
"Reject daun selada hijau segar, terkena debu kotor tebal akibat renovasi ventilasi dapur",CONTAMINATED
"Reject saus tiram botol besar, tanggal kadaluarsa sudah habis saat pemeriksaan stok bulanan",EXPIRED
sponge cake vanila terlalu lama di wajan penggorengan hingga gosong pahit,OVERCOOKED
kulit wortel dan bonggol brokoli hasil pemilahan bahan sebelum proses memasak pada bak pembuangan prep station.,PREP_WASTE
potongan daging wagyu MB7 kemasukan rambut staff dapur saat proses plating makanan di dekat tempat cuci piring pot wash.,CONTAMINATED
tomat merah busuk basah dan mengeluarkan cairan lendir bau menyengat di kontainer prep.,SPOILED
nasi putih dan aneka lauk pauk sisa prasmanan buffet dinner hotel tidak habis dikonsumsi tamu di holding cabinet pemanas.,SURPLUS
tomat merah berlendir tebal bau tengik busuk menusuk hidung di kulkas walk-in.,SPOILED
lemak berlebih dan urat keras bagian tidak dapat dikonsumsi dibuang saat prep siang di fish station.,PREP_WASTE
kulit wortel dan bonggol brokoli bagian keras yang tidak dipakai pada resep utama pada talenan preparation.,PREP_WASTE
Kondisi mayonnaise kemasan pouch 1 kg: lewat masa kadaluarsa 5 hari tidak boleh dipakai masak,EXPIRED
Kondisi saus sambal mangkok saji: tersentuh tangan staff tanpa sarung tangan yang sedang flu batuk,CONTAMINATED
"potongan buah melon salad terkena debu kotor tebal akibat renovasi ventilasi dapur, buang segera",CONTAMINATED
lemak berlebih dan urat keras sisa pembersihan dan pemotongan persiapan sup pagi di meja butcher station.,PREP_WASTE
tomat merah timbul lendir lengket dan aroma bangkai busuk di kulkas walk-in.,SPOILED
Waste log: daging cincang sapi timbul lendir lengket dan aroma bangkai busuk,SPOILED
daging steak sirloin terlalu lama digoreng di deep fryer sampai kering mengeras pahit pada panci stock pot.,OVERCOOKED
potongan daging wagyu MB7 tercampur serpihan plastik wrap kemasan tajam yang sobek di meja saji banquet.,CONTAMINATED
Kondisi saus salad dressing thousand island: terkontaminasi kotoran hama tikus di rak penyimpanan bawah,CONTAMINATED
sup buntut kuah rempah 15 porsi sisa prasmanan buffet dinner hotel tidak habis dikonsumsi tamu di display showcase pastry.,SURPLUS
Kondisi krimer kental manis kaleng: lewat masa kadaluarsa 5 hari tidak boleh dipakai masak,EXPIRED
daging steak sirloin terlalu lama di wajan penggorengan hingga gosong pahit saat proses plating order.,OVERCOOKED
"cangkang telur ayam sisa pemotongan rapi agar bentuk plating seragam, buang segera",PREP_WASTE
tomat merah insang pucat kehitaman mata cekung merah dan bau busuk di cold storage dapur.,SPOILED
potongan daging wagyu MB7 terkena debu kotor tebal akibat renovasi ventilasi dapur pada rak chiller bawah.,CONTAMINATED
"telur dadar telur gulung bantat dan tepi loyang hangus terbakar di oven bersuhu tinggi, buang segera",OVERCOOKED
daging steak sirloin hangus hitam berasap pekat dan bau gosong tajam di hot line station.,OVERCOOKED
nasi putih dan aneka lauk pauk stok porsi matang berlebih karena prediksi tamu meleset pada meja katering ballroom.,SURPLUS
tomat merah bagian dalam busuk kehitaman berserat berlendir di ruang penyimpanan basah.,SPOILED
daging steak sirloin terlalu lama direbus tekstur hancur lebur kuah keruh gosong saat proses plating order.,OVERCOOKED
tomat merah berbau asam menyengat dan berubah warna keabu-abuan di chiller 1.,SPOILED
potongan daging wagyu MB7 jatuh ke lantai dapur yang kotor dan berminyak di area plating pass.,CONTAMINATED
susu UHT full cream 1 liter melewati batas tanggal best before pada label kemasan di rak dry store.,EXPIRED
"Reject minyak wijen botol, tercatat lewat batas tanggal konsumsi aman di kemasan",EXPIRED
susu UHT full cream 1 liter lewat masa simpan kadaluarsa 2 hari di kulkas pantry pada chiller dairy.,EXPIRED
susu UHT full cream 1 liter tanggal kadaluarsa sudah habis saat pemeriksaan stok bulanan di lemari stok bumbu.,EXPIRED
daun selada hijau segar kemasukan serangga lalat yang terbang di area meja plating pada area penyimpanan kering.,CONTAMINATED
susu UHT full cream 1 liter tanggal kedaluwarsa habis seminggu lalu belum terpakai di lemari stok bumbu.,EXPIRED
susu UHT full cream 1 liter tercatat lewat batas tanggal konsumsi aman di kemasan pada kulkas pastry.,EXPIRED
cangkang telur ayam hasil trimming kotor persiapan menu steak malam,PREP_WASTE
lemak berlebih dan urat keras sisa pembersihan dan pemotongan persiapan sup pagi di meja butchery daging.,PREP_WASTE
tomat merah warna menggelap kecokelatan berlendir dan berbau busuk di ruang penyimpanan basah.,SPOILED
tomat merah berbau belerang busuk dan mengeluarkan cairan keruh di kontainer prep.,SPOILED
kulit wortel dan bonggol brokoli sisa pemotongan rapi agar bentuk plating seragam di area pastry preparation.,PREP_WASTE
sup buntut kuah rempah 15 porsi sisa penutupan operasional restoran malam tidak boleh disimpan di display showcase pastry.,SURPLUS
potongan daging wagyu MB7 tercampur bahan alergen kacang yang dilarang pada pesanan khusus di area plating pass.,CONTAMINATED
Waste log: sponge cake vanila gosong terbakar api wajan karena ditinggal memasak,OVERCOOKED
sup buntut kuah rempah 15 porsi sisa prasmanan buffet dinner hotel tidak habis dikonsumsi tamu di chiller holding akhir shift.,SURPLUS
susu UHT full cream 1 liter tanggal kadaluarsa sudah habis saat pemeriksaan stok bulanan pada kulkas pastry.,EXPIRED
tomat merah hancur lembek mencair dan berbau busuk tidak layak konsumsi di cold storage dapur.,SPOILED
potongan daging wagyu MB7 bersentuhan langsung dengan pisau dan talenan kotor belum dicuci pada area penyimpanan kering.,CONTAMINATED
nasi putih dan aneka lauk pauk stok porsi matang berlebih karena prediksi tamu meleset di chiller holding akhir shift.,SURPLUS
Kondisi daging steak sirloin: gosong di luar tetapi bagian dalam masih belum matang,OVERCOOKED
Kondisi daging ayam panggang bumbu rosemary: sisa menu promo lunch siang yang berlebih dan tidak terjual,SURPLUS
kulit wortel dan bonggol brokoli bagian keras yang tidak dipakai pada resep utama di meja butcher station.,PREP_WASTE
tomat merah bagian dalam busuk kehitaman berserat berlendir di rak seafood.,SPOILED
daging steak sirloin gosong hitam legam karena api grill terlalu besar di hot line station.,OVERCOOKED
susu UHT full cream 1 liter lewat masa simpan kadaluarsa 2 hari di kulkas pantry di lemari stok bumbu.,EXPIRED
Waste log: saus sambal mangkok saji kemasukan serangga lalat yang terbang di area meja plating,CONTAMINATED
kulit wortel dan bonggol brokoli sisa pemotongan rapi agar bentuk plating seragam saat mise en place pagi.,PREP_WASTE
nasi putih dan aneka lauk pauk sisa menu promo lunch siang yang berlebih dan tidak terjual di chiller holding akhir shift.,SURPLUS
tomat merah tekstur lembek berlendir dan timbul bintik hitam jamur di cold storage dapur.,SPOILED
tomat merah tekstur lembek berlendir dan timbul bintik hitam jamur di chiller 1.,SPOILED
potongan daging wagyu MB7 terkontaminasi kotoran hama tikus di rak penyimpanan bawah di area plating pass.,CONTAMINATED
tomat merah hancur lembek mencair dan berbau busuk tidak layak konsumsi di ruang penyimpanan basah.,SPOILED
tomat merah layu menghitam membusuk dan berlendir di dalam chiller pada wadah penyimpanan.,SPOILED
daun selada hijau segar kemasukan serangga lalat yang terbang di area meja plating pada rak chiller bawah.,CONTAMINATED
susu UHT full cream 1 liter melewati masa kadaluwarsa resmi dari distributor supplier di rak inventory pantry.,EXPIRED
nasi putih dan aneka lauk pauk sisa display etalase kafe malam hari yang tidak laku terjual di area room service.,SURPLUS
daging steak sirloin gosong terbakar dan berkerak pahit saat jam sibuk dinner di wajan stir-fry wok.,OVERCOOKED
kulit wortel dan bonggol brokoli bagian tidak dapat dikonsumsi dibuang saat prep siang saat mise en place pagi.,PREP_WASTE
tomat merah sudah berjamur putih dan kulit lembek berair di kontainer prep.,SPOILED
saus tomat kemasan botol expired date tercantum 12 September 2026 sudah terlampaui pada chiller dairy.,EXPIRED
saus tomat kemasan botol sudah lewat tanggal kadaluarsa 3 hari yang lalu pada chiller dairy.,EXPIRED
sup buntut kuah rempah 15 porsi sisa menu promo lunch siang yang berlebih dan tidak terjual di area room service.,SURPLUS
sup buntut kuah rempah 15 porsi kelebihan porsi karena acara pesta banquet batal sebagian pada meja banquet hall.,SURPLUS
potongan daging wagyu MB7 kemasukan serangga lalat yang terbang di area meja plating pada area penyimpanan kering.,CONTAMINATED
"Reject potongan ayam goreng tepung, gosong terbakar api wajan karena ditinggal memasak",OVERCOOKED
lemak berlebih dan urat keras hasil pemilahan bahan sebelum proses memasak di meja butchery daging.,PREP_WASTE
tomat merah layu menghitam membusuk dan berlendir di dalam chiller di rak seafood.,SPOILED
tomat merah ditumbuhi kapang jamur abu-abu halus beracun di kontainer prep.,SPOILED
kulit wortel dan bonggol brokoli bagian keras yang tidak dipakai pada resep utama di meja butchery daging.,PREP_WASTE
Waste log: saus tiram botol besar expired date tercantum 12 September 2026 sudah terlampaui,EXPIRED
tomat merah timbul lendir lengket dan aroma bangkai busuk di chiller 1.,SPOILED
"Reject kol kubis putih, warna menggelap kecokelatan berlendir dan berbau busuk",SPOILED
potongan daging wagyu MB7 tersentuh tangan staff tanpa sarung tangan yang sedang flu batuk pada meja prep station.,CONTAMINATED
"Reject tepung custard kaleng, sudah melewati masa kedaluwarsa dan kemasan agak menggelembung",EXPIRED
daun selada hijau segar jatuh ke lantai dapur yang kotor dan berminyak di dekat tempat cuci piring pot wash.,CONTAMINATED
daging steak sirloin gosong terbakar dan berkerak pahit saat jam sibuk dinner di grill station.,OVERCOOKED
"tulang dan kepala ikan kakap sisa trimming fillet dada ayam untuk sate, buang segera",PREP_WASTE
susu UHT full cream 1 liter tercatat lewat batas tanggal konsumsi aman di kemasan di rak dry store.,EXPIRED
susu UHT full cream 1 liter tercatat lewat batas tanggal konsumsi aman di kemasan pada chiller dairy.,EXPIRED
kulit wortel dan bonggol brokoli sisa trimming fillet dada ayam untuk sate di area pastry preparation.,PREP_WASTE
kulit wortel dan bonggol brokoli sisa pemecahan telur pembuatan adonan kue bakery pada bak pembuangan prep station.,PREP_WASTE
Waste log: potongan kulit semangka sisa garnish sisa kupasan persiapan bumbu dasar dapur utama,PREP_WASTE
susu UHT full cream 1 liter lewat masa simpan kadaluarsa 2 hari di kulkas pantry di rak inventory pantry.,EXPIRED
tomat merah ditumbuhi kapang jamur abu-abu halus beracun di ruang penyimpanan basah.,SPOILED
susu UHT full cream 1 liter tanggal kadaluarsa sudah habis saat pemeriksaan stok bulanan saat rotasi stok FIFO.,EXPIRED
tomat merah ditumbuhi kapang jamur abu-abu halus beracun saat dicek quality control pagi.,SPOILED
sup buntut kuah rempah 15 porsi overproduksi sisa persiapan siang yang tidak habis malam ini pada meja katering ballroom.,SURPLUS
tomat merah berbau asam menyengat dan berubah warna keabu-abuan pada rak sayur bawah.,SPOILED
Kondisi keju mozarella blok: lewat masa simpan kadaluarsa 2 hari di kulkas pantry,EXPIRED
kulit bawang bombay dan akar seledri hasil pembersihan kulit dan akar sayuran,PREP_WASTE
kulit wortel dan bonggol brokoli sisa kupasan prep menu udang goreng tepung saat mise en place pagi.,PREP_WASTE
daging steak sirloin terlalu lama digoreng di deep fryer sampai kering mengeras pahit di hot line station.,OVERCOOKED
daun selada hijau segar jatuh ke lantai dapur yang kotor dan berminyak di lantai kitchen line.,CONTAMINATED
Kondisi nasi goreng seafood spesial: hangus berkerak di dasar panci dan timbul bau sangit,OVERCOOKED
susu UHT full cream 1 liter sudah lewat tanggal kadaluarsa 3 hari yang lalu pada kulkas pastry.,EXPIRED
saus tomat kemasan botol melewati batas tanggal best before pada label kemasan pada kulkas pastry.,EXPIRED
susu UHT full cream 1 liter lewat masa simpan kadaluarsa 2 hari di kulkas pantry pada area bakery.,EXPIRED
kulit wortel dan bonggol brokoli sisa trimming fillet dada ayam untuk sate di fish station.,PREP_WASTE
saus tomat kemasan botol sudah lewat tanggal kadaluarsa 3 hari yang lalu di lemari stok bumbu.,EXPIRED
nasi putih dan aneka lauk pauk kelebihan porsi pesanan katering luar yang sudah selesai pada meja banquet hall.,SURPLUS
sup buntut kuah rempah 15 porsi overproduksi sisa persiapan siang yang tidak habis malam ini di area room service.,SURPLUS
nasi putih dan aneka lauk pauk sisa penutupan operasional restoran malam tidak boleh disimpan pada dispenser buffet sarapan.,SURPLUS
nasi putih dan aneka lauk pauk overproduksi sisa persiapan siang yang tidak habis malam ini pada dispenser buffet sarapan.,SURPLUS
susu UHT full cream 1 liter sudah melewati masa kedaluwarsa dan kemasan agak menggelembung saat rotasi stok FIFO.,EXPIRED
sup buntut kuah rempah 15 porsi sisa display etalase kafe malam hari yang tidak laku terjual pada meja katering ballroom.,SURPLUS
susu UHT full cream 1 liter melewati masa kadaluwarsa resmi dari distributor supplier,EXPIRED
tomat merah sudah berjamur putih dan kulit lembek berair pada rak sayur bawah.,SPOILED
lemak berlebih dan urat keras sisa proses fillet untuk menu ikan bakar banquet saat mise en place pagi.,PREP_WASTE
potongan daging wagyu MB7 terkena cipratan cairan pembersih sabun pel lantai di meja saji banquet.,CONTAMINATED
potongan daging wagyu MB7 kemasukan serangga lalat yang terbang di area meja plating di pick-up table waiter.,CONTAMINATED
potongan daging wagyu MB7 tercampur bahan alergen kacang yang dilarang pada pesanan khusus di lantai kitchen line.,CONTAMINATED
sup buntut kuah rempah 15 porsi kelebihan porsi pesanan katering luar yang sudah selesai di buffet counter restaurant.,SURPLUS
saus tomat kemasan botol melewati batas tanggal best before pada label kemasan di rak inventory pantry.,EXPIRED
Waste log: bonggol kubis dan daun luar yang keras sisa kupas 15 kg kentang untuk mashed potato,PREP_WASTE
sup buntut kuah rempah 15 porsi sisa menu promo lunch siang yang berlebih dan tidak terjual pada dispenser buffet sarapan.,SURPLUS
nasi putih dan aneka lauk pauk kelebihan porsi karena acara pesta banquet batal sebagian pada meja katering ballroom.,SURPLUS
saus bechamel keju bantat dan tepi loyang hangus terbakar di oven bersuhu tinggi saat proses plating order.,OVERCOOKED
kulit wortel dan bonggol brokoli sisa kupas 15 kg kentang untuk mashed potato pada station vegetable prep.,PREP_WASTE
susu UHT full cream 1 liter melewati masa kadaluwarsa resmi dari distributor supplier di gudang bahan kering.,EXPIRED
Waste log: saus salad dressing thousand island bersentuhan langsung dengan pisau dan talenan kotor belum dicuci,CONTAMINATED
nasi putih dan aneka lauk pauk sisa menu promo lunch siang yang berlebih dan tidak terjual di holding cabinet pemanas.,SURPLUS
daging steak sirloin gosong terbakar api wajan karena ditinggal memasak di hot line station.,OVERCOOKED
Waste log: potongan daging wagyu MB7 jatuh ke lantai dapur yang kotor dan berminyak,CONTAMINATED
daging steak sirloin terlalu lama direbus tekstur hancur lebur kuah keruh gosong di grill station.,OVERCOOKED
"minyak wijen botol melewati batas tanggal best before pada label kemasan, buang segera",EXPIRED
daun selada hijau segar terkontaminasi pecahan beling piring kaca yang pecah di dekatnya di meja saji banquet.,CONTAMINATED
saus tomat kemasan botol expired date tercantum 12 September 2026 sudah terlampaui saat rotasi stok FIFO.,EXPIRED
saus tomat kemasan botol expired date tercantum 12 September 2026 sudah terlampaui di lemari stok bumbu.,EXPIRED
saus bechamel keju gosong terbakar dan berkerak pahit saat jam sibuk dinner di area deep fryer.,OVERCOOKED
susu UHT full cream 1 liter jatuh tempo tanggal expired pabrik kemarin sore di rak inventory pantry.,EXPIRED
saus tomat kemasan botol melewati batas tanggal best before pada label kemasan pada area bakery.,EXPIRED
saus tomat kemasan botol expired date tercantum 12 September 2026 sudah terlampaui di rak dry store.,EXPIRED
nasi putih dan aneka lauk pauk sisa minuman sarapan pagi yang melebihi batas waktu saji di holding cabinet pemanas.,SURPLUS
Waste log: smoke beef slice kemasan sudah lewat tanggal kadaluarsa 3 hari yang lalu,EXPIRED
tomat merah timbul lendir lengket dan aroma bangkai busuk di ruang penyimpanan basah.,SPOILED
daging steak sirloin hangus hitam berasap pekat dan bau gosong tajam di area deep fryer.,OVERCOOKED
tomat merah layu menghitam membusuk dan berlendir di dalam chiller di laci pendingin.,SPOILED
susu UHT full cream 1 liter lewat masa simpan kadaluarsa 2 hari di kulkas pantry saat rotasi stok FIFO.,EXPIRED
tomat merah rasa asam tajam tidak wajar dan tekstur hancur berlendir di chiller 1.,SPOILED
daging steak sirloin terlalu lama digoreng di deep fryer sampai kering mengeras pahit pada oven baking.,OVERCOOKED
tomat merah busuk basah dan mengeluarkan cairan lendir bau menyengat di laci pendingin.,SPOILED
tomat merah bagian dalam busuk kehitaman berserat berlendir pada rak sayur bawah.,SPOILED
Waste log: nasi kuning tumpeng komplit sisa sajian meeting room korporat yang selesai lebih awal,SURPLUS
tomat merah insang pucat kehitaman mata cekung merah dan bau busuk pada wadah penyimpanan.,SPOILED
daging steak sirloin gosong di luar tetapi bagian dalam masih belum matang pada panci stock pot.,OVERCOOKED
lemak berlebih dan urat keras bagian tidak dapat dikonsumsi dibuang saat prep siang pada station vegetable prep.,PREP_WASTE
nasi putih dan aneka lauk pauk sisa acara gathering tamu hotel yang tidak terkonsumsi di buffet counter restaurant.,SURPLUS
susu UHT full cream 1 liter batas aman konsumsi sudah lewat per hari ini pada chiller dairy.,EXPIRED
potongan daging wagyu MB7 kemasukan serangga lalat yang terbang di area meja plating di lantai kitchen line.,CONTAMINATED
kulit wortel dan bonggol brokoli sisa proses fillet untuk menu ikan bakar banquet saat mise en place pagi.,PREP_WASTE
kulit wortel dan bonggol brokoli sisa kupas 15 kg kentang untuk mashed potato di fish station.,PREP_WASTE
kulit wortel dan bonggol brokoli sisa kupas 15 kg kentang untuk mashed potato di meja butchery daging.,PREP_WASTE
susu UHT full cream 1 liter batas aman konsumsi sudah lewat per hari ini di rak saus dan kondimen.,EXPIRED
saus tomat kemasan botol lewat masa simpan kadaluarsa 2 hari di kulkas pantry pada kulkas pastry.,EXPIRED
potongan daging wagyu MB7 kemasukan serangga lalat yang terbang di area meja plating pada rak chiller bawah.,CONTAMINATED
kulit wortel dan bonggol brokoli sisa kupasan prep menu udang goreng tepung di meja butcher station.,PREP_WASTE
daun selada hijau segar kemasukan serangga lalat yang terbang di area meja plating di pick-up table waiter.,CONTAMINATED
susu UHT full cream 1 liter lewat masa kadaluarsa 5 hari tidak boleh dipakai masak pada area bakery.,EXPIRED
lemak berlebih dan urat keras sisa proses fillet untuk menu ikan bakar banquet di area pastry preparation.,PREP_WASTE
saus bechamel keju terlalu lama digoreng di deep fryer sampai kering mengeras pahit di area deep fryer.,OVERCOOKED
kulit wortel dan bonggol brokoli sisa pembersihan dan pemotongan persiapan sup pagi pada station vegetable prep.,PREP_WASTE
"Reject selai stroberi botol kaca, sudah lewat tanggal kadaluarsa 3 hari yang lalu",EXPIRED
nasi putih dan aneka lauk pauk overproduksi sisa persiapan siang yang tidak habis malam ini pada meja katering ballroom.,SURPLUS
tomat merah ditumbuhi kapang jamur abu-abu halus beracun di chiller 1.,SPOILED
kulit wortel dan bonggol brokoli sisa kupasan prep menu udang goreng tepung pada bak pembuangan prep station.,PREP_WASTE
tomat merah warna menggelap kecokelatan berlendir dan berbau busuk pada rak sayur bawah.,SPOILED
nasi putih dan aneka lauk pauk kelebihan porsi karena acara pesta banquet batal sebagian di holding cabinet pemanas.,SURPLUS
